Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
GAP43,SeverAD,Control,7,8,-1.78643290755828,-8.55887355267102,11.2518891538094,2.92664454242612e-06,-1.05175774239564,-0.62240572189007,4.59314514285714,5.430226875,0,two.sided,Welch Two Sample t-test,0.126240812337551
SERPINI1,SeverAD,Control,7,8,-2.60173618102315,-5.72357815506361,12.9757155958253,7.0624656335639e-05,-1.90025745534003,-0.858691901802824,5.18534457142857,6.56481925,0,two.sided,Welch Two Sample t-test,0.538000577049385
DDR1,SeverAD,Control,7,8,1.49639815196033,5.62614981002183,12.9117041133703,8.46751902502481e-05,0.358052574282452,0.804935604288978,5.65338271428571,5.071888625,0,two.sided,Welch Two Sample t-test,0.538000577049385
CAB39,SeverAD,Control,7,8,-1.61860651055416,-5.53058338268379,12.9209432113521,9.91587446222966e-05,-0.966306866685745,-0.423197740457112,4.95636757142857,5.651119875,0,two.sided,Welch Two Sample t-test,0.538000577049385
SYNGR1,SeverAD,Control,7,8,-1.75362560408211,-6.27887081872961,9.68242066083303,0.000105407557740933,-1.09918432765802,-0.521497208056269,5.20801185714286,6.018352625,0,two.sided,Welch Two Sample t-test,0.538000577049385
SDHC,SeverAD,Control,7,8,-1.56845692734026,-5.74562927496392,11.0658991043262,0.000126255906033552,-0.897911023955818,-0.400780797472753,5.85758771428571,6.506933625,0,two.sided,Welch Two Sample t-test,0.538000577049385
GLT1D1,SeverAD,Control,7,8,-1.76503331022259,-5.42046761742171,12.6454378897682,0.000128882964160573,-1.14732486361057,-0.492065957818006,5.11111871428571,5.930814125,0,two.sided,Welch Two Sample t-test,0.538000577049385
GDI1,SeverAD,Control,7,8,-1.30665261845385,-5.36683645617189,12.9713980037841,0.000129206088705719,-0.541241013995702,-0.230510271718586,9.39993585714286,9.7858115,0,two.sided,Welch Two Sample t-test,0.538000577049385
TIMELESS,SeverAD,Control,7,8,1.25624940302266,5.31578874208101,12.8697263855069,0.000144852489999742,0.195227607181095,0.463018214247478,2.75172128571429,2.422598375,0,two.sided,Welch Two Sample t-test,0.538000577049385
BRK1,SeverAD,Control,7,8,-1.31892401048523,-5.95794013790571,9.81730762625712,0.000150547803489755,-0.549091455307825,-0.249631437549318,4.57000342857143,4.969364875,0,two.sided,Welch Two Sample t-test,0.538000577049385
GRIA3,SeverAD,Control,7,8,-2.00074430622769,-5.3008198602965,12.4738944036839,0.000165092311541301,-1.41006445392235,-0.591009153220506,5.82725857142857,6.827795375,0,two.sided,Welch Two Sample t-test,0.538000577049385
GAP43,SeverAD,Control,7,8,-1.80061075164388,-5.40640212701949,11.8255305799716,0.00016673884891419,-1.19099184561478,-0.505980832956646,7.37773128571429,8.226217625,0,two.sided,Welch Two Sample t-test,0.538000577049385
NKAIN2,SeverAD,Control,7,8,-1.30288134613688,-5.19928490101167,12.9576861617261,0.000173124961557044,-0.540361916903437,-0.223049489382277,1.66216484285714,2.043870546,0,two.sided,Welch Two Sample t-test,0.538000577049385
RPH3A,SeverAD,Control,7,8,-1.98257554386238,-5.18834783548262,12.999573225161,0.000174614769414429,-1.39850921000362,-0.576242468567812,6.00433728571429,6.991713125,0,two.sided,Welch Two Sample t-test,0.538000577049385
RAP1GDS1,SeverAD,Control,7,8,-1.76832221386639,-5.59798690071611,10.2848312001873,0.000205973285932364,-1.14848485054704,-0.496277506595816,5.21084057142857,6.03322175,0,two.sided,Welch Two Sample t-test,0.592310512579501
MTO1,SeverAD,Control,7,8,-1.44579379465273,-5.19707462393577,12.0313419326843,0.000221090611166461,-0.754774246391025,-0.308949360751833,3.08831557142857,3.620177375,0,two.sided,Welch Two Sample t-test,0.596046469541581
MIR4458HG,SeverAD,Control,7,8,-1.76018615911575,-4.99743089311495,12.5819648220917,0.000269288780133884,-1.16955856716484,-0.461897468549444,2.65468285714286,3.470410875,0,two.sided,Welch Two Sample t-test,0.605846778663133
LMBRD2,SeverAD,Control,7,8,-1.85186616626219,-5.12215028503028,11.6464691144377,0.000277395798904555,-1.2684028720321,-0.509556806539325,5.62557728571429,6.514557125,0,two.sided,Welch Two Sample t-test,0.605846778663133
ATP6V1H,SeverAD,Control,7,8,-1.79687404690706,-4.91468874109316,12.9478453874158,0.000285940274931384,-1.21729650367335,-0.47368206775522,4.73981871428571,5.585308,0,two.sided,Welch Two Sample t-test,0.605846778663133
ADGRL1,SeverAD,Control,7,8,-1.62245281074383,-5.43601351961366,9.74096426231971,0.000313914258585788,-0.985383286893692,-0.410969748820594,4.99308185714286,5.691258375,0,two.sided,Welch Two Sample t-test,0.605846778663133
SVOP,SeverAD,Control,7,8,-1.70530819906424,-4.89837758599493,12.6491166878109,0.000314912913060386,-1.11060592150344,-0.429459078496559,6.953411,7.7234435,0,two.sided,Welch Two Sample t-test,0.605846778663133
WDR12,SeverAD,Control,7,8,-1.50104643458309,-5.1106459795954,10.9447474349283,0.000343787683354066,-0.838481307799097,-0.333455906486617,1.52108514285714,2.10705375,0,two.sided,Welch Two Sample t-test,0.605846778663133
HS3ST1,SeverAD,Control,7,8,-1.37492428955516,-5.29796763019571,9.92546044750007,0.000357388142592878,-0.652736386889921,-0.265967970252936,1.56105157142857,2.02040375,0,two.sided,Welch Two Sample t-test,0.605846778663133
MCHR1,SeverAD,Control,7,8,-1.63384975353376,-4.80224094487187,12.7695978040783,0.00036307160187863,-1.02749025279949,-0.389060390057651,4.07559142857143,4.78386675,0,two.sided,Welch Two Sample t-test,0.605846778663133
GNG3,SeverAD,Control,7,8,-1.73262734632312,-4.82943445817698,12.4712647268047,0.0003698484253163,-1.14921454059657,-0.436708245117717,6.78479085714286,7.57775225,0,two.sided,Welch Two Sample t-test,0.605846778663133
KIF1B,SeverAD,Control,7,8,1.30746340901619,4.89674679281307,11.7821498526997,0.000388090884863797,0.214323007977095,0.559218134880048,7.46474957142857,7.077979,0,two.sided,Welch Two Sample t-test,0.605846778663133
PRUNE2,SeverAD,Control,7,8,1.41415342399198,4.74267043851671,12.8200308086251,0.000399291145203755,0.27188251888783,0.727994779433598,4.38107301228571,3.881134363125,0,two.sided,Welch Two Sample t-test,0.605846778663133
LINC00963,SeverAD,Control,7,8,1.64595911476372,5.10953185982825,10.3420377278793,0.000411658071947138,0.406821553949056,1.03103544605094,3.307227,2.5882985,0,two.sided,Welch Two Sample t-test,0.605846778663133
RGS4,SeverAD,Control,7,8,-2.26732165028435,-4.76890304461762,12.4630019447143,0.000411814759469952,-1.71834364649192,-0.643634496365228,5.16887642857143,6.3498655,0,two.sided,Welch Two Sample t-test,0.605846778663133
ZNF443,SeverAD,Control,7,8,1.31846254656164,4.78052324158213,12.269873020005,0.000421360921754816,0.217512708223769,0.580200470347659,2.70701771428571,2.308161125,0,two.sided,Welch Two Sample t-test,0.605846778663133
KCNJ4,SeverAD,Control,7,8,-1.53895674045186,-4.72685651966837,12.2634821790035,0.000463082494526161,-0.907955943994473,-0.335949413148384,12.1149585714286,12.73691125,0,two.sided,Welch Two Sample t-test,0.619485292814404
GPR37L1,SeverAD,Control,7,8,1.76464755751406,4.79030343447887,11.7010295015708,0.000472874666648617,0.44563587531034,1.1931242675468,5.16582457142857,4.3464445,0,two.sided,Welch Two Sample t-test,0.619485292814404
TPM3,SeverAD,Control,7,8,-1.40210906080023,-4.66425733315072,12.5806066920671,0.000482776000905922,-0.714209893416959,-0.260987249440184,4.28051542857143,4.768114,0,two.sided,Welch Two Sample t-test,0.619485292814404
MYLK3,SeverAD,Control,7,8,1.53435194990504,4.66020133379218,12.2883367022524,0.000517273915804158,0.329615014954656,0.905643877902487,5.39321257142857,4.775583125,0,two.sided,Welch Two Sample t-test,0.619485292814404
MAP3K9,SeverAD,Control,7,8,-1.74502946036018,-4.84382693313803,10.80577956032,0.000542784794734777,-1.1690425540135,-0.437460231700788,5.94446185714286,6.74771325,0,two.sided,Welch Two Sample t-test,0.619485292814404
CAMK4,SeverAD,Control,7,8,-1.74803335558207,-4.94631057953166,10.1917183787876,0.00054977481987692,-1.16776360177887,-0.443701826792556,3.70230228571429,4.508035,0,two.sided,Welch Two Sample t-test,0.619485292814404
CPS1,SeverAD,Control,7,8,-1.55910735194157,-4.83943371243622,10.6930521255287,0.000563183182705127,-0.933145074222363,-0.348295461491923,2.61509285714286,3.255813125,0,two.sided,Welch Two Sample t-test,0.619485292814404
KHDC1,SeverAD,Control,7,8,-1.32620306692608,-4.51255814636302,12.9987159527415,0.000583866426226636,-0.602297666787665,-0.212305726069477,3.61092442857143,4.018226125,0,two.sided,Welch Two Sample t-test,0.619485292814404
KCTD16,SeverAD,Control,7,8,-1.61949221801907,-4.62487410486639,11.986309408259,0.000586988737413823,-1.02325787689773,-0.367825194530837,3.40927771428571,4.10481925,0,two.sided,Welch Two Sample t-test,0.619485292814404
ID2,SeverAD,Control,7,8,-1.29261729191443,-4.49829790036037,12.9799290387477,0.000601411325024407,-0.54816245140594,-0.192427941451203,1.96844042857143,2.338735625,0,two.sided,Welch Two Sample t-test,0.619485292814404
ZNRF1,SeverAD,Control,7,8,-1.5509788550866,-4.63862427575781,11.6973136096955,0.000611087753793823,-0.931445967014887,-0.334912068699398,6.36296685714286,6.996145875,0,two.sided,Welch Two Sample t-test,0.619485292814404
MDH1,SeverAD,Control,7,8,-1.92639707565181,-4.72087679840715,10.8873650167003,0.000646433110053794,-1.38746586788172,-0.504344346403992,6.46425214285714,7.41015725,0,two.sided,Welch Two Sample t-test,0.619485292814404
PLEKHB2,SeverAD,Control,7,8,1.23593608927076,4.57185576322831,11.9436596346518,0.000649133582127107,0.159885907346683,0.451322378367603,3.51402114285714,3.208417,0,two.sided,Welch Two Sample t-test,0.619485292814404
IFTAP,SeverAD,Control,7,8,-1.67952663924153,-4.78810705666633,10.4451775441058,0.00065198750924832,-1.09416025224592,-0.401949104896938,4.75194257142857,5.49999725,0,two.sided,Welch Two Sample t-test,0.619485292814404
HECTD4,SeverAD,Control,7,8,-1.3834525443931,-4.45496895521539,12.9384831016413,0.000656058874556845,-0.69546482149365,-0.241081492577779,2.35530538171429,2.82357853875,0,two.sided,Welch Two Sample t-test,0.619485292814404
NCR3LG1,SeverAD,Control,7,8,-1.57758606597646,-4.6485285943016,11.2845610769976,0.000660631122509855,-0.968179915485141,-0.347257513086287,4.16091928571429,4.818638,0,two.sided,Welch Two Sample t-test,0.619485292814404
ZNF610,SeverAD,Control,7,8,-1.41374189181517,-4.45372075514441,12.6581351493411,0.00069289406637113,-0.742487469935939,-0.256550030064062,2.651926,3.15144475,0,two.sided,Welch Two Sample t-test,0.62878715084069
ELP5,SeverAD,Control,7,8,-1.48074228709522,-4.44542228696168,12.5936952596278,0.00071197295352619,-0.842444124556683,-0.290197018300459,4.52295942857143,5.08928,0,two.sided,Welch Two Sample t-test,0.62878715084069
RABEP1,SeverAD,Control,7,8,1.29501701519708,4.61914267697074,11.0800361376818,0.000727494762604293,0.195409777948829,0.550532329194028,7.19492642857143,6.821955375,0,two.sided,Welch Two Sample t-test,0.62878715084069
GABRB2,SeverAD,Control,7,8,-1.54352452998014,-4.40606016675955,12.8523631119796,0.000728859569770129,-0.933638124749429,-0.318818696679145,8.05973771428571,8.685966125,0,two.sided,Welch Two Sample t-test,0.62878715084069
G2E3,SeverAD,Control,7,8,-1.33699650712737,-4.3763203658851,12.9644101291096,0.00075441288413023,-0.625890475107875,-0.212100917749268,2.43211242857143,2.851108125,0,two.sided,Welch Two Sample t-test,0.631268614091065
LTF,SeverAD,Control,7,8,2.10251962666462,4.61108417041311,10.9454708602592,0.000761005400086598,0.560058851773144,1.58417968394114,3.97431314285714,2.902193875,0,two.sided,Welch Two Sample t-test,0.631268614091065
ARRB2,SeverAD,Control,7,8,1.50043148972,4.36961175731096,12.7808679560125,0.000789187068475109,0.295457245333599,0.875297647523544,5.16969057142857,4.584313125,0,two.sided,Welch Two Sample t-test,0.636604395863899
VMA21,SeverAD,Control,7,8,-1.36796862608016,-4.60967867299737,10.5880344897084,0.000831719000078342,-0.668897563806096,-0.23517272190819,2.97707785714286,3.429113,0,two.sided,Welch Two Sample t-test,0.636604395863899
PCDH10,SeverAD,Control,7,8,-1.40550858773983,-4.45144125492084,11.7319187992565,0.000835177288002644,-0.732074035103031,-0.250110502289826,1.56672622142857,2.057818490125,0,two.sided,Welch Two Sample t-test,0.636604395863899
RABGGTB,SeverAD,Control,7,8,-1.39473097764847,-4.36109772423273,12.5444004155379,0.000836594655752242,-0.718640088400665,-0.241333661599334,6.6653,7.145286875,0,two.sided,Welch Two Sample t-test,0.636604395863899
LINC00674,SeverAD,Control,7,8,1.95617819046106,4.37377960350786,12.3910001040018,0.000841229872823513,0.48748885285557,1.44858673310872,6.41408498185714,5.446047188875,0,two.sided,Welch Two Sample t-test,0.636604395863899
FZD3,SeverAD,Control,7,8,-1.84005944529057,-4.41660609819613,11.8208516150939,0.000871116147403854,-1.31448496890755,-0.445019781092451,5.019742,5.899494375,0,two.sided,Welch Two Sample t-test,0.641425738622289
CTSA,SeverAD,Control,7,8,1.36002031015147,4.29225428142343,12.9893261548954,0.000877341337167383,0.220323505833308,0.666932887023835,4.62738957142857,4.183761375,0,two.sided,Welch Two Sample t-test,0.641425738622289
PLEKHB1,SeverAD,Control,7,8,1.55235329009421,4.30851354407186,12.614868553801,0.000908672891173316,0.315338323078513,0.953575534064345,5.51762342857143,4.8831665,0,two.sided,Welch Two Sample t-test,0.646936214055682
ASMTL-AS1,SeverAD,Control,7,8,1.38400771212176,4.44975654021762,11.0667979531733,0.000964787914513476,0.237114173502359,0.700589790783355,4.49791685714286,4.029064875,0,two.sided,Welch Two Sample t-test,0.646936214055682
ART3,SeverAD,Control,7,8,-1.38856013765623,-4.62665755540288,9.87287872129909,0.000973239000080121,-0.702063043619481,-0.24511627780909,1.99175771428571,2.465347375,0,two.sided,Welch Two Sample t-test,0.646936214055682
CD81,SeverAD,Control,7,8,1.40512015126522,4.27500036443531,12.3438096262108,0.00101318002325285,0.241375175130014,0.740011824869984,8.624616,8.1339225,0,two.sided,Welch Two Sample t-test,0.646936214055682
VSNL1,SeverAD,Control,7,8,-1.76425570914573,-4.51482419376929,10.3865825123871,0.00101556494198144,-1.22124884359968,-0.416870513543172,8.59918957142857,9.41824925,0,two.sided,Welch Two Sample t-test,0.646936214055682
SMAD9,SeverAD,Control,7,8,1.35277339948058,4.45940210684443,10.7417141430698,0.00102123124179643,0.220134293246297,0.651706099610846,2.93662657142857,2.500706375,0,two.sided,Welch Two Sample t-test,0.646936214055682
MACROD2,SeverAD,Control,7,8,-1.41142825846625,-4.26173929198239,12.0973907110722,0.00108463870762844,-0.751099782287269,-0.243211817427016,5.31276674314286,5.809922543,0,two.sided,Welch Two Sample t-test,0.646936214055682
H1-7,SeverAD,Control,7,8,1.31462984496422,4.17905496777811,12.9121508966591,0.00109633882788829,0.190497116413524,0.598816169300761,3.39581814285714,3.0011615,0,two.sided,Welch Two Sample t-test,0.646936214055682
SYT12,SeverAD,Control,7,8,1.24618027415802,4.32278250887465,11.2702714724775,0.00114360021911747,0.156319925774791,0.478705645653782,4.81032028571429,4.4928075,0,two.sided,Welch Two Sample t-test,0.646936214055682
SEPTIN11,SeverAD,Control,7,8,-1.6438908780827,-4.1544944796717,12.8971815671127,0.00115031628827594,-1.09032196192991,-0.343907109498661,6.50871671428571,7.22583125,0,two.sided,Welch Two Sample t-test,0.646936214055682
APLP2,SeverAD,Control,7,8,-1.28248623313391,-4.14175246700982,12.949478914223,0.00116820473133224,-0.546245113851865,-0.171641564719563,9.61653128571429,9.975474625,0,two.sided,Welch Two Sample t-test,0.646936214055682
CPLANE2,SeverAD,Control,7,8,-1.60572037401924,-4.45253651299612,10.0109151277602,0.00122700658606742,-1.02506752907164,-0.341373828071218,6.40166457142857,7.08488525,0,two.sided,Welch Two Sample t-test,0.646936214055682
CACNA1B,SeverAD,Control,7,8,-1.87297724859388,-4.20921724335665,11.923641269275,0.0012286171955129,-1.37429323025357,-0.436373519746436,3.579369,4.484702375,0,two.sided,Welch Two Sample t-test,0.646936214055682
GAP43,SeverAD,Control,7,8,-3.20893659912431,-4.37603329789049,10.4753186092799,0.00124156239625484,-2.5333267944492,-0.830863776979374,7.29765071428571,8.979746,0,two.sided,Welch Two Sample t-test,0.646936214055682
ROBO2,SeverAD,Control,7,8,-1.67292564126351,-4.31799389692444,10.9093565549964,0.00124208162485312,-1.12116277899064,-0.363583863866504,2.60209242857143,3.34446575,0,two.sided,Welch Two Sample t-test,0.646936214055682
ATP2A2,SeverAD,Control,7,8,-1.36084812969761,-4.1451697726814,12.5242799571322,0.00124318301494512,-0.677070265275358,-0.211941877581782,10.4669414285714,10.9114475,0,two.sided,Welch Two Sample t-test,0.646936214055682
MYD88,SeverAD,Control,7,8,1.30129219688776,4.1603849394801,12.3212207113349,0.00125090725318739,0.181539841591082,0.578350051266061,2.96834057142857,2.588395625,0,two.sided,Welch Two Sample t-test,0.646936214055682
ACAT2,SeverAD,Control,7,8,-1.33220338903033,-4.09651712313835,12.994936632403,0.00126232768303708,-0.63205510913355,-0.195573605152164,3.91389314285714,4.3277075,0,two.sided,Welch Two Sample t-test,0.646936214055682
TENT4A,SeverAD,Control,7,8,-1.41998261607258,-4.10727144785281,12.7178921009738,0.00129191040367267,-0.772556920983469,-0.239189614730817,4.34820185714286,4.854075125,0,two.sided,Welch Two Sample t-test,0.646936214055682
STMN2,SeverAD,Control,7,8,-1.82044800512014,-4.10238697336143,12.7453052163662,0.001298009533669,-1.320367705936,-0.40821936549257,6.87277771428571,7.73707125,0,two.sided,Welch Two Sample t-test,0.646936214055682
MRTFB,SeverAD,Control,7,8,-1.33174277691444,-4.08172426424116,12.9141159341026,0.00131393824118191,-0.632222396866291,-0.194408515240852,3.97129366157143,4.384609117625,0,two.sided,Welch Two Sample t-test,0.646936214055682
ZC3HAV1L,SeverAD,Control,7,8,-1.45833734224702,-4.07538028014413,12.9594845600306,0.00132043901361149,-0.832963895460621,-0.255685068825093,2.23806214285714,2.782386625,0,two.sided,Welch Two Sample t-test,0.646936214055682
TRABD,SeverAD,Control,7,8,1.39336964165524,4.11039538224919,12.5261080348138,0.00132452191808323,0.226073065968049,0.731083005460522,6.40710028571429,5.92852225,0,two.sided,Welch Two Sample t-test,0.646936214055682
GNAO1,SeverAD,Control,7,8,-1.42820444935927,-4.15585673128451,11.9851950002213,0.00133604197476467,-0.7838231103012,-0.244581925413084,7.88781085714286,8.402013375,0,two.sided,Welch Two Sample t-test,0.646936214055682
SDC4,SeverAD,Control,7,8,1.4487734548425,4.77779427919164,8.11427495432501,0.00134068585261122,0.277326573180966,0.79233746253332,5.89285014285714,5.358018125,0,two.sided,Welch Two Sample t-test,0.646936214055682
ZXDA,SeverAD,Control,7,8,-1.96214213676044,-4.1963054138661,11.4981278787519,0.00135876007345467,-1.47979118904454,-0.465067918098313,4.12289757142857,5.095327125,0,two.sided,Welch Two Sample t-test,0.646936214055682
CDC25A,SeverAD,Control,7,8,1.37284564732113,4.04036015233521,12.9998494750315,0.00140156074149796,0.212721995805753,0.701616861337104,4.16108442857143,3.703915,0,two.sided,Welch Two Sample t-test,0.646936214055682
EIF2S1,SeverAD,Control,7,8,-1.53647744553628,-4.07065095641583,12.5421615638526,0.00142112031074845,-0.949698157219651,-0.289555021351778,4.67165528571429,5.291281875,0,two.sided,Welch Two Sample t-test,0.646936214055682
ASB16-AS1,SeverAD,Control,7,8,1.45093261435482,4.83785649260494,7.68780742527098,0.00144579103114853,0.279203766688652,0.794757269097062,3.63245919214286,3.09547867425,0,two.sided,Welch Two Sample t-test,0.646936214055682
BEX5,SeverAD,Control,7,8,-2.36473429489682,-4.23012269501601,10.8759024831106,0.00144781417887075,-1.88863909654452,-0.594717082026904,6.53630828571429,7.777986375,0,two.sided,Welch Two Sample t-test,0.646936214055682
TIA1,SeverAD,Control,7,8,1.31533029613745,4.22033424694265,10.9101515573167,0.0014615781386448,0.188995954122853,0.60185429398429,1.93417823842857,1.538753114375,0,two.sided,Welch Two Sample t-test,0.646936214055682
NEFM,SeverAD,Control,7,8,-2.22361508030879,-4.50294506506105,9.03617784905227,0.00146777078609252,-1.73174294873846,-0.574071194118681,7.44696342857143,8.5998705,0,two.sided,Welch Two Sample t-test,0.646936214055682
MAMLD1,SeverAD,Control,7,8,-1.26500180759666,-4.29369317414923,10.2875415961318,0.0014780647783593,-0.514465586083676,-0.163813306773467,1.57635042857143,1.915489875,0,two.sided,Welch Two Sample t-test,0.646936214055682
TUBB2A,SeverAD,Control,7,8,-1.53296411827266,-4.17468870138812,11.2412596168201,0.00148016748227364,-0.940414255203022,-0.292233601939833,11.5366285714286,12.1529525,0,two.sided,Welch Two Sample t-test,0.646936214055682
LZTS1,SeverAD,Control,7,8,-1.38662620313909,-4.16130749073634,11.2474208899981,0.00151271232460298,-0.720337112524767,-0.22282074461809,5.63106557142857,6.1026445,0,two.sided,Welch Two Sample t-test,0.646936214055682
BRAT1,SeverAD,Control,7,8,1.39135176746468,4.13715984239713,11.3786008947277,0.00153889517532833,0.224019430951464,0.728954997619966,3.05348971428571,2.5770025,0,two.sided,Welch Two Sample t-test,0.646936214055682
AVIL,SeverAD,Control,7,8,1.21461214200068,4.07693423642045,11.9113869117958,0.00155742961299734,0.130468194961369,0.430523197895775,5.86957157142857,5.589075875,0,two.sided,Welch Two Sample t-test,0.646936214055682
KCNAB1,SeverAD,Control,7,8,-1.67879674536595,-4.08244820513222,11.8210717579026,0.00156604393505507,-1.14700223384035,-0.347852909016791,5.89488342857143,6.642311,0,two.sided,Welch Two Sample t-test,0.646936214055682
RGS4,SeverAD,Control,7,8,-2.42400362640788,-4.10210673043223,11.5967305389265,0.00157273193496586,-1.95849797835499,-0.596285735930729,4.31818914285714,5.595581,0,two.sided,Welch Two Sample t-test,0.646936214055682
KALRN,SeverAD,Control,7,8,-2.25371952282337,-4.29863199915261,9.91989253159607,0.00159395458285473,-1.78062406693896,-0.563991897346756,6.03486214285714,7.207170125,0,two.sided,Welch Two Sample t-test,0.646936214055682
SHC3,SeverAD,Control,7,8,-1.3468665645191,-3.98392990999895,12.8239700181324,0.00159895815058825,-0.662895683695015,-0.196318173447843,5.08573657142857,5.5153435,0,two.sided,Welch Two Sample t-test,0.646936214055682
ZNF548,SeverAD,Control,7,8,-1.99872550540053,-4.14063767533802,11.1131710753844,0.00160729639032089,-1.52948948036703,-0.468671226490113,3.63050987257143,4.629590226,0,two.sided,Welch Two Sample t-test,0.646936214055682
MAPK1,SeverAD,Control,7,8,-1.4675826640705,-4.02424514014272,12.2689839594149,0.00161531408042304,-0.852360051075474,-0.254523484638814,8.25686285714286,8.810304625,0,two.sided,Welch Two Sample t-test,0.646936214055682
PEG3,SeverAD,Control,7,8,-1.30346383333285,-4.01042755866696,12.3113592278543,0.00164549844968197,-0.589495441602507,-0.175205665540351,9.67443557142857,10.056786125,0,two.sided,Welch Two Sample t-test,0.646936214055682
VAT1L,SeverAD,Control,7,8,-1.47359147979286,-4.05905198465815,11.7679921618768,0.001647209703829,-0.860234455159418,-0.258438794840582,3.6712,4.230536625,0,two.sided,Welch Two Sample t-test,0.646936214055682
ZDBF2,SeverAD,Control,7,8,-1.37102370721135,-4.04458857026947,11.9056976645267,0.00165156549114979,-0.700713413532222,-0.209793622182064,4.10067185714286,4.555925375,0,two.sided,Welch Two Sample t-test,0.646936214055682
BEX3,SeverAD,Control,7,8,-1.25580599719627,-4.07149521434885,11.6046684489659,0.00165721348064568,-0.505134049940101,-0.152093164345614,9.24302514285714,9.57163875,0,two.sided,Welch Two Sample t-test,0.646936214055682
ADAD1,SeverAD,Control,7,8,1.21146122724179,4.56317981776496,8.32402757415233,0.00166316947647117,0.137835414784192,0.415661049501523,2.08549785714286,1.808749625,0,two.sided,Welch Two Sample t-test,0.646936214055682
ELF1,SeverAD,Control,7,8,1.76277968861698,3.94824384144841,12.9883889558606,0.00166979597827842,0.370305659864126,1.26539869727873,3.98265642857143,3.16480425,0,two.sided,Welch Two Sample t-test,0.646936214055682
PLCL2,SeverAD,Control,7,8,-1.7631589223548,-4.12564831198391,11.0221435799186,0.00167743285465867,-1.25453569725069,-0.381789338463595,5.20210385714286,6.020266375,0,two.sided,Welch Two Sample t-test,0.646936214055682
ZNF385B,SeverAD,Control,7,8,-2.12178771073467,-3.97146865761425,12.4622568543482,0.00172681746962972,-1.67824266527576,-0.492317972402812,3.53346463128571,4.618744950125,0,two.sided,Welch Two Sample t-test,0.646936214055682
NIPSNAP3B,SeverAD,Control,7,8,-1.6796151800367,-4.20207588789981,10.2373504836197,0.00173133052114925,-1.14358178880474,-0.352679675480978,1.63470814285714,2.382838875,0,two.sided,Welch Two Sample t-test,0.646936214055682
ZNF844,SeverAD,Control,7,8,1.45113375227021,3.95390512905568,12.6524527630943,0.001734094301335,0.242849531621505,0.831511468378496,2.802366,2.2651855,0,two.sided,Welch Two Sample t-test,0.646936214055682
TASOR2,SeverAD,Control,7,8,-1.6505476466735,-4.08143411401299,11.2284631058302,0.00174121603177758,-1.11183985960892,-0.334049711819649,5.89831671428571,6.6212615,0,two.sided,Welch Two Sample t-test,0.646936214055682
LY86-AS1,SeverAD,Control,7,8,-1.76114944122287,-3.92020055219011,12.9897796368899,0.00176023704577233,-1.26652480755751,-0.366509859121062,2.49218176628571,3.308699099625,0,two.sided,Welch Two Sample t-test,0.646936214055682
DYNLL1,SeverAD,Control,7,8,-1.59319955532061,-3.9133765490128,12.9997511333113,0.00178061668623252,-1.0428631285552,-0.300990835730512,5.48454214285714,6.156469125,0,two.sided,Welch Two Sample t-test,0.646936214055682
NIPA1,SeverAD,Control,7,8,-1.40360463981341,-4.08270438603402,11.0873531745957,0.00178280918483925,-0.752576830213206,-0.225696413572507,6.01548682085714,6.50462344275,0,two.sided,Welch Two Sample t-test,0.646936214055682
SFTPC,SeverAD,Control,7,8,1.41285856741747,3.95117435101336,12.491210492821,0.00178489291469356,0.224856964140838,0.772377143002019,2.90099942857143,2.402382375,0,two.sided,Welch Two Sample t-test,0.646936214055682
FARSB,SeverAD,Control,7,8,-1.73660117402826,-3.9193214369366,12.8911105698557,0.00178765481573157,-1.2355535655283,-0.356979363043124,4.45008128571429,5.24634775,0,two.sided,Welch Two Sample t-test,0.646936214055682
CDK14,SeverAD,Control,7,8,-2.03422800662246,-4.00863532149763,11.7291136085158,0.00181308067101506,-1.58274724901214,-0.46621553670215,6.72989185714286,7.75437325,0,two.sided,Welch Two Sample t-test,0.646936214055682
SCAND2P,SeverAD,Control,7,8,1.39394246759462,4.27330201022186,9.49892048842956,0.00183036290887228,0.227528806261369,0.730813229452916,5.69000614285714,5.210835125,0,two.sided,Welch Two Sample t-test,0.646936214055682
CTPS2,SeverAD,Control,7,8,1.41443009346544,4.17697775317867,10.0672667705752,0.00186942599090518,0.233627898116165,0.766813851883834,4.369489,3.869268125,0,two.sided,Welch Two Sample t-test,0.646936214055682
CAMK2D,SeverAD,Control,7,8,-1.63556355549358,-3.92219075011987,12.4639481876764,0.00189059639425679,-1.1024597798678,-0.317115862989349,3.61562042857143,4.32540825,0,two.sided,Welch Two Sample t-test,0.646936214055682
COL15A1,SeverAD,Control,7,8,-1.20671060807917,-3.88067911434123,12.8800343734629,0.00192550703252176,-0.422132447892531,-0.120027016393183,1.41174614285714,1.682825875,0,two.sided,Welch Two Sample t-test,0.646936214055682
NDUFAB1,SeverAD,Control,7,8,-1.81355720131955,-3.87715847746764,12.8983997325591,0.00193344422698596,-1.33774499874505,-0.379899501254945,5.953654,6.81247625,0,two.sided,Welch Two Sample t-test,0.646936214055682
